86,Viettel,bgK2wz2
96,Viettel,bgK2wj2
97,Viettel,bgK2wj6
98,Viettel,bgK2wjw
32,Viettel,bgK2uDI
33,Viettel,bgK2uDM
34,Viettel,bgK2uDA
35,Viettel,bgK2uDE
36,Viettel,bgK2uD2
37,Viettel,bgK2uD6
38,Viettel,bgK2uDw
39,Viettel,bgK2uD-
88,Vina,bgK2wzw
91,Vina,bgK2wjU
94,Vina,bgK2wjA
83,Vina,bgK2wzM
84,Vina,bgK2wzA
85,Vina,bgK2wzE
81,Vina,bgK2wzU
82,Vina,bgK2wzI
92,VietnamMobile,bgK2wjI
56,VietnamMobile,bgK2vj2
58,VietnamMobile,bgK2vjw
89,MobiFone,bgK2wz-
90,MobiFone,bgK2wjQ
93,MobiFone,bgK2wjM
70,MobiFone,bgK2vDQ
79,MobiFone,bgK2vD-
77,MobiFone,bgK2vD6
76,MobiFone,bgK2vD2
78,MobiFone,bgK2vDw
99,gmobile,bgK2wj-
59,gmobile,bgK2vj-
52,VietnamMobile,bgK2vjI
87,ITelecom,bgK2wz6
55,Mobicast,bgK2vjE
