"vng_id"	"name_0"	"name_1"	"name_2"	"name_3"
241092219	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã La Phù"
241092203	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Minh Khai"
241092210	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Sơn Đồng"
241092215	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Song Phương"
241092214	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Tiền Yên"
241092201	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Thị trấn Trạm Trôi"
241092211	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Vân Canh"
241092218	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Vân Côn"
241092209	"Vietnam"	"Thành phố Hà Nội"	"Huyện Hoài Đức"	"Xã Yên Sở"
241090207	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Cửa Đông"
241090213	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Cửa Nam"
241090211	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Chương Dương"
241090202	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Đồng Xuân"
241090218	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Bài"
241090214	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Bông"
241090204	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Buồm"
241090205	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Đào"
241090210	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Gai"
241090203	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Mã"
241090212	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Hàng Trống"
241090208	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Lý Thái Tổ"
241090217	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Phan Chu Trinh"
241090201	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Phúc Tân"
241090216	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Trần Hưng Đạo"
241090215	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàn Kiếm"	"Phường Tràng Tiền"
241090806	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Đại Kim"
241090803	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Định Công"
241090809	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Giáp Bát"
241090813	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Hoàng Liệt"
241093003	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Thượng Lâm"
241090808	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Hoàng Văn Thụ"
241090810	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Lĩnh Nam"
241090804	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Mai Động"
241090807	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Tân Mai"
241090811	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Thịnh Liệt"
241090801	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Thanh Trì"
241090812	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Trần Phú"
241090805	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Tương Mai"
241090802	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Vĩnh Hưng"
241090814	"Vietnam"	"Thành phố Hà Nội"	"Quận Hoàng Mai"	"Phường Yên Sở"
241090409	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Bồ Đề"
241090414	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Cự Khối"
241090404	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Đức Giang"
241090406	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Gia Thụy"
241090403	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Giang Biên"
241090411	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Long Biên"
241090407	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Ngọc Lâm"
241090402	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Ngọc Thụy"
241090413	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Phúc Đồng"
241090408	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Phúc Lợi"
241090410	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Sài Đồng"
241090412	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Thạch Bàn"
241090401	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Thượng Thanh"
241091611	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mê Linh"	"Xã Vạn Yên"
241090405	"Vietnam"	"Thành phố Hà Nội"	"Quận Long Biên"	"Phường Việt Hưng"
241093008	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã An Mỹ"
241093022	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã An Phú"
241093019	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã An Tiến"
241093007	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Bột Xuyên"
241093014	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Đại Hưng"
241093001	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Thị trấn Đại Nghĩa"
241093016	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Đốc Tín"
241093002	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Đồng Tâm"
241093009	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Hồng Sơn"
241093021	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Hợp Thanh"
241093020	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Hợp Tiến"
241093018	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Hùng Tiến"
241093017	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Hương Sơn"
241093010	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Lê Thanh"
241093006	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Mỹ Thành"
241093013	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Phù Lưu Tế"
241093005	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Phúc Lâm"
241093012	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Phùng Xá"
241560514	"Vietnam"	"Tỉnh Nam Định"	"Huyện Nghĩa Hưng"	"Xã Nghĩa Phú"
241093004	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Tuy Lai"
241093015	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Vạn Kim"
241093011	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mỹ Đức"	"Xã Xuy Xá"
241091601	"Vietnam"	"Thành phố Hà Nội"	"Huyện Mê Linh"	"Thị trấn Chi Đông"
