Thanh pho Ha Noi	9					90000	Thành phố Hà Nội		
Thanh pho Ha Noi	9	Quan Ba Dinh	1			90100	Thành phố Hà Nội	Quận Ba Đình	
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Phuc Xa	1	90101	Thành phố Hà Nội	Quận Ba Đình	Phường Phúc Xá
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Truc Bach	2	90102	Thành phố Hà Nội	Quận Ba Đình	Phường Trúc Bạch
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Vinh Phuc	3	90103	Thành phố Hà Nội	Quận Ba Đình	Phường Vĩnh Phúc
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Cong Vi	4	90104	Thành phố Hà Nội	Quận Ba Đình	Phường Cống Vị
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Lieu Giai	5	90105	Thành phố Hà Nội	Quận Ba Đình	Phường Liễu Giai
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Nguyen Trung Truc	6	90106	Thành phố Hà Nội	Quận Ba Đình	Phường Nguyễn Trung Trực
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Quan Thanh	7	90107	Thành phố Hà Nội	Quận Ba Đình	Phường Quán Thánh
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Ngoc Ha	8	90108	Thành phố Hà Nội	Quận Ba Đình	Phường Ngọc Hà
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Dien Bien	9	90109	Thành phố Hà Nội	Quận Ba Đình	Phường Điện Biên
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Doi Can	10	90110	Thành phố Hà Nội	Quận Ba Đình	Phường Đội Cấn
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Ngoc Khanh	11	90111	Thành phố Hà Nội	Quận Ba Đình	Phường Ngọc Khánh
Thanh pho Ha Noi	9	Quan Ba Dinh	1	Phuong Kim Ma	12	90112	Thành phố Hà Nội	Quận Ba Đình	Phường Kim Mã
